age,gender,country,self_employed,family_history,treatment,work_interfere,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,survey_year,age_group,self_employed_encoded,tech_company_encoded,has_benefits,has_care_options,has_wellness_program,support_score,treatment_encoded
46.0,Male,United States,Yes,Yes,no,Sometimes,1-5,Yes,yes,not sure,yes,Don'T Know,Yes,Very easy,2014,45-54,1,1,1,0,1,2,0
36.0,Male,France,Yes,Yes,no,Unknown,6-25,Yes,no,no,yes,No,Yes,Somewhat easy,2014,35-44,1,1,0,0,1,1,0
29.0,Male,United States,No,Yes,yes,Sometimes,100-500,Yes,yes,yes,no,No,No,Somewhat difficult,2014,25-34,0,1,1,1,0,2,1
31.0,Male,United States,Yes,No,no,Never,1-5,Yes,no,no,no,No,Yes,Somewhat difficult,2014,25-34,1,1,0,0,0,0,0
46.0,Male,United States,No,No,yes,Often,26-100,Yes,yes,yes,no,No,Don'T Know,Don't know,2014,45-54,0,1,1,1,0,2,1
41.0,Male,United States,No,No,yes,Never,More Than 1000,No,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,0,0,0,0,0,1
33.0,Male,United States,No,Yes,yes,Rarely,26-100,Yes,yes,not sure,don't know,Yes,Yes,Don't know,2014,25-34,0,1,1,0,0,1,1
35.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,No,yes,yes,no,Don'T Know,No,Very easy,2014,35-44,0,0,1,1,0,2,1
33.0,Male,United States,No,No,no,Unknown,1-5,Yes,don't know,not sure,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
35.0,Female,United States,No,Yes,yes,Rarely,6-25,Yes,yes,yes,don't know,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,1,1,0,2,1
34.0,Male,United States,No,No,yes,Sometimes,26-100,Yes,don't know,not sure,no,Don'T Know,Don'T Know,Somewhat difficult,2014,25-34,0,1,0,0,0,0,1
37.0,Male,United Kingdom,No,No,no,Sometimes,6-25,Yes,no,no,no,No,Don'T Know,Very difficult,2014,35-44,0,1,0,0,0,0,0
32.0,Male,United Kingdom,No,No,no,Never,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
31.0,Male,United States,Yes,Yes,no,Rarely,1-5,Yes,no,yes,no,No,Don'T Know,Somewhat difficult,2014,25-34,1,1,0,1,0,1,0
30.0,Male,United Kingdom,No,Yes,yes,Sometimes,500-1000,Yes,don't know,no,no,No,Yes,Somewhat easy,2014,25-34,0,1,0,0,0,0,1
42.0,Male,United States,No,Yes,yes,Sometimes,26-100,Yes,yes,yes,yes,Yes,Yes,Very easy,2014,35-44,0,1,1,1,1,3,1
40.0,Female,United States,No,No,yes,Sometimes,1-5,Yes,yes,yes,no,No,Don'T Know,Don't know,2014,35-44,0,1,1,1,0,2,1
27.0,Male,United States,No,No,yes,Rarely,6-25,Yes,no,yes,no,No,Don'T Know,Very easy,2014,25-34,0,1,0,1,0,1,1
29.0,Male,Canada,No,No,no,Rarely,1-5,Yes,no,no,no,No,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
38.0,Male,Portugal,No,No,no,Unknown,100-500,Yes,no,yes,no,No,Don'T Know,Somewhat easy,2014,35-44,0,1,0,1,0,1,0
50.0,Male,United States,No,No,no,Unknown,100-500,Yes,yes,yes,no,Don'T Know,Don'T Know,Don't know,2014,45-54,0,1,1,1,0,2,0
35.0,Male,United States,No,No,yes,Rarely,More Than 1000,Yes,yes,yes,no,Yes,Yes,Very easy,2014,35-44,0,1,1,1,0,2,1
24.0,Male,United Kingdom,No,No,yes,Sometimes,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,18-24,0,1,0,0,0,0,1
35.0,Male,United States,No,No,no,Unknown,More Than 1000,Yes,yes,not sure,don't know,Yes,Don'T Know,Somewhat difficult,2014,35-44,0,1,1,0,0,1,0
27.0,Male,Canada,No,Yes,yes,Sometimes,1-5,Yes,no,yes,no,No,Yes,Very difficult,2014,25-34,0,1,0,1,0,1,1
18.0,Male,Netherlands,No,No,no,Often,6-25,Yes,no,not sure,no,No,Don'T Know,Somewhat difficult,2014,18-24,0,1,0,0,0,0,0
30.0,Male,United States,No,No,yes,Sometimes,26-100,Yes,don't know,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,1
38.0,Female,United States,No,Yes,yes,Sometimes,26-100,Yes,yes,yes,no,Yes,Yes,Somewhat easy,2014,35-44,0,1,1,1,0,2,1
28.0,Male,United Kingdom,No,No,no,Unknown,26-100,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
34.0,Male,United States,No,No,no,Unknown,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
26.0,Male,Canada,Yes,No,no,Sometimes,1-5,Yes,no,yes,yes,No,Don'T Know,Don't know,2014,25-34,1,1,0,1,1,2,0
30.0,Male,United States,No,Yes,yes,Rarely,26-100,Yes,yes,no,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,1,0,0,1,1
22.0,Male,United States,No,Yes,yes,Often,6-25,Yes,no,yes,no,No,Yes,Very difficult,2014,18-24,0,1,0,1,0,1,1
33.0,Male,United States,No,No,no,Unknown,100-500,Yes,don't know,not sure,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
31.0,Male,United States,No,No,no,Unknown,100-500,Yes,don't know,no,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
32.0,Male,United States,No,No,no,Never,1-5,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
28.0,Male,Switzerland,No,No,no,Unknown,100-500,Yes,no,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
27.0,Male,United States,No,Yes,yes,Rarely,26-100,Yes,yes,yes,no,No,Yes,Don't know,2014,25-34,0,1,1,1,0,2,1
32.0,Male,United States,No,Yes,no,Unknown,6-25,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,0
